,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,Duration,Sent_per_Flow,received_per_Flow,Total_Bytes_used_for_Headers
0,192.168.43.20,185.51.200.2,43500,domain,UDP,1646094935.077996,90,0,76
1,192.168.43.20,185.51.200.2,40542,domain,UDP,1646094935.080101,96,0,82
2,192.168.43.20,185.51.200.2,39395,domain,UDP,1646094935.081813,86,0,72
3,192.168.43.20,185.51.200.2,50293,domain,UDP,1646094935.083599,96,0,82
4,192.168.43.20,185.51.200.2,46218,domain,UDP,1646094935.085261,86,0,72
5,192.168.43.20,185.51.200.2,37340,domain,UDP,1646094935.087847,98,0,84
6,185.51.200.2,192.168.43.20,domain,43500,UDP,1646094935.099888,0,106,92
7,192.168.43.20,185.51.200.2,45490,domain,UDP,1646094935.100493,90,0,76
8,185.51.200.2,192.168.43.20,domain,39395,UDP,1646094935.112823,0,150,136
9,185.51.200.2,192.168.43.20,domain,46218,UDP,1646094935.113323,0,167,153
10,192.168.43.20,185.51.200.2,52766,domain,UDP,1646094935.11445,88,0,74
11,192.168.43.20,185.51.200.2,52527,domain,UDP,1646094935.11466,88,0,74
12,192.168.43.20,185.51.200.2,53460,domain,UDP,1646094935.118443,87,0,73
13,192.168.43.20,185.51.200.2,40045,domain,UDP,1646094935.118666,87,0,73
14,185.51.200.2,192.168.43.20,domain,45490,UDP,1646094935.119521,0,90,76
15,192.168.43.20,185.51.200.2,45490,domain,UDP,1646094935.119697,79,0,65
16,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.127307,187,0,173
17,185.51.200.2,192.168.43.20,domain,52766,UDP,1646094935.137155,0,152,138
18,185.51.200.2,192.168.43.20,domain,53460,UDP,1646094935.13886,0,103,89
19,185.51.200.2,192.168.43.20,domain,45490,UDP,1646094935.143191,0,79,65
20,185.51.200.2,192.168.43.20,domain,40045,UDP,1646094935.144175,0,87,73
21,192.168.43.20,185.51.200.2,59977,domain,UDP,1646094935.144222,95,0,81
22,192.168.43.20,185.51.200.2,40045,domain,UDP,1646094935.144291,76,0,62
23,185.51.200.2,192.168.43.20,domain,40045,UDP,1646094935.164078,0,76,62
24,185.51.200.2,192.168.43.20,domain,59977,UDP,1646094935.165046,0,111,97
25,192.168.43.20,185.51.200.2,35528,domain,UDP,1646094935.165474,95,0,81
26,192.168.43.20,185.51.200.2,34829,domain,UDP,1646094935.165606,95,0,81
27,192.168.43.20,185.51.200.2,33117,domain,UDP,1646094935.165791,95,0,81
28,185.51.200.2,192.168.43.20,domain,34829,UDP,1646094935.185115,0,176,162
29,185.51.200.2,192.168.43.20,domain,35528,UDP,1646094935.185233,0,159,145
30,192.168.43.20,185.51.200.2,47935,domain,UDP,1646094935.186479,92,0,78
31,185.51.200.2,192.168.43.20,domain,33117,UDP,1646094935.188398,0,95,81
32,192.168.43.20,185.51.200.2,33117,domain,UDP,1646094935.18857,84,0,70
33,185.51.200.2,192.168.43.20,domain,40542,UDP,1646094935.194971,0,112,98
34,185.51.200.2,192.168.43.20,domain,37340,UDP,1646094935.204994,0,158,144
35,185.51.200.2,192.168.43.20,domain,33117,UDP,1646094935.209424,0,84,70
36,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.218052,0,66,52
37,185.51.200.2,192.168.43.20,domain,50293,UDP,1646094935.21812,0,157,143
38,185.51.200.2,192.168.43.20,domain,52527,UDP,1646094935.256139,0,170,156
39,192.168.43.20,94.130.124.124,60438,https,TCP,1646094935.303242,105,0,91
40,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.307316,0,263,249
41,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.307355,66,0,52
42,185.51.200.2,192.168.43.20,domain,47935,UDP,1646094935.308425,0,174,160
43,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.309362,0,1454,1440
44,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.309435,66,0,52
45,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.309538,0,110,96
46,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.309547,66,0,52
47,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.309624,0,1454,1440
48,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.309639,66,0,52
49,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.309737,0,116,102
50,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.309742,66,0,52
51,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.312898,0,1454,1440
52,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.312932,66,0,52
53,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.31312,0,1454,1440
54,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.313128,66,0,52
55,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.313745,0,1454,1440
56,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.313766,66,0,52
57,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.314008,0,1454,1440
58,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.314023,66,0,52
59,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.315955,0,1454,1440
60,192.168.43.20,151.101.129.69,51146,https,TCP,1646094935.315992,66,0,52
61,151.101.129.69,192.168.43.20,https,51146,TCP,1646094935.316171,0,1454,1440
